Hindi,Telugu
"कुछ वर्षों पहले मुझे ऐसा लगा जैसे मैं किसी उदास दिनचर्या में फंसा हुआ था, इसलिए मैंने महान अमेरिकन दार्शनिक; म़ोरगन स्परलोंक के दिखाए रास्ते पर चलने का फैसला किया, और 30 दिनों तक कुछ नया करने का प्रयास किया ","కొన్ని సంవత్సరాల ముందు, నేను బాగా ఆచరానములో ఉన్న ఆచారాన్ని పాతిస్తునాట్లు భావన నాలో కలిగింది. అందుకే నేను గొప్ప అమెరికన్ తత్వవేత్తఅయిన మోర్గన్ స్పుర్లాక్ గారి దారిని పాటించాలనుకున్నాను. అదే 30 రోజులలో కొత్త వాటి కోసం ప్రయత్నించటం"
यह विचार बहुत ही सरल है ,ఈ ఆలోచన చాలా సులభమైనది.
ऐसे किसी चीज के बारे में सोचिये जिसे आप हमेशा अपने जीवन में करना चाहते थे और उसे अगले 30 दिनों तक करने का प्रयास कीजिये ,మీ జీవితములో మీరు చేయాలి అనుకునే పనిని ఆలోచించండి. తరువాతా ఆ పనిని తదుపరి 30 రోజులలో ప్రయత్నించండి.
"यह पता चला है कि 30 दिन पर्याप्त समय है, कोई नयी आदत डालने या किसी आदत को छुड़ाने के लिए अपने जीवन में से -- जैसे कि समाचार देखना ","ఫలితము దక్కుతుంది. 30 రోజులనేది మీ జీవితములో ఒక మంచి సమయము, ఈ కాలములో మీరు ఒక కొత్త అలవాటిని పాటించవచ్చు లేదా మీ పాత అలవాటులలో ఒకటిని -- న్యూస్ చూసే అలవాతులులగా ఒకటిని మీ జీవితములోనుంచి మానుకోవచ్చు."
इस 30 दिन की चुनौतियों के दौरान मैंने कुछ बातें सीखी हैं ,"ఈ 30 రోజులు పాటించే విధానములో నేను కొన్ని విషయాలను నేర్చుకున్నాను,"
"पहला था कि, बजाय इसके के महीने यूँ ही भूलते हुए गुजर जाएँ वह समय बहुत ज्यादा यादगार था ","మొదటిది, నెలలు గడిచే కొద్ది నెలల్లో జరిగే విషయాలకన్నా, సమయములో జరిగే విషయాలు నాకు న్యాపకముంది."
यह उस चुनौती का एक हिस्सा था जिसमे प्रतिदिन मैंने एक फोटो ली,"ఇది కూడా ఆ సవాలులో ఒక భాగము,నేను ఒక నెలకి ఒక ఫోటో తియ్యలనుకున్నాను."
और मुझे याद है मैं उस दिन कहाँ था और क्या कर रहा था ,"నేను ఎక్కడున్నానని మరియు, ఆ రోజు ఏమి చేస్తున్నానో నాకు న్యాపకముంది."
मैंने यह भी पाया कि जैसे जैसे मैं 30 दिनों की कठिन चुनौतियों को अपनाने लगा मेरा आत्म विश्वास बढ़ता गया ,"నేను గమనించింది ఏమిటి అంటే 30 రోజుల సవాళ్ళు చేసేకొద్ది నా స్వీయ విశ్వాసం పెరిగేది, నేను గమనించాను."
मैं एक कंप्यूटर पर काम करके कुर्सियां तोड़ने वाले बेवकूफ से एक ऐसा आदमी बना जो साइकल से काम पर जाता है,"నేను కంప్యూటర్ కార్యాలయంలో కంప్యూటర్ గురించి మాత్రమే తెలిసి, పనిచేసే ఒక అబ్బాయిగానుండి"
मजे करने के लिए ,కలం గడపటానికే పనిచేసే ఒక అబ్బాయిగా మారాను.
यंहा तक की पिछले साल मैं किलिमंजारो अफ्रीका में उच्चतम पर्वत पर पैदल चढ़ा ,పోయిన సంవత్సరము నేను అఫ్రికాలోనే ఎత్తైన పర్వతమైన Mt. కిళిమంజారోలో పర్వతారోహణానికి వెళ్ళాను.
